time,price
"(12, 5)",31.060000000000002
"(12, 6)",9.7775
"(12, 7)",19.16
"(12, 8)",21.0125
"(12, 9)",17.8175
"(12, 10)",22.9825
"(12, 11)",76.65520000000001
"(12, 12)",23.9125
"(12, 13)",22.915
"(12, 14)",18.2175
"(12, 15)",24.7725
"(12, 16)",95.3031
"(12, 17)",70.7825
"(12, 18)",20.655
"(12, 19)",17.5575
"(13, 0)",39.92
"(13, 1)",46.3075
"(13, 2)",65.5075
"(13, 3)",76.5975
"(13, 4)",33.585
"(13, 5)",30.634999999999998
"(13, 6)",9.9725
"(13, 7)",20.1375
"(13, 8)",21.2425
"(13, 9)",18.04
"(13, 10)",21.935000000000002
"(13, 11)",43.335
"(13, 12)",28.78
"(13, 13)",25.32
"(13, 14)",18.787499999999998
"(13, 15)",29.1325
"(13, 16)",104.5708
"(13, 17)",75.1725
"(13, 18)",20.845000000000002
"(13, 19)",18.5275
"(14, 0)",44.365
"(14, 1)",48.5
"(14, 2)",59.2625
"(14, 3)",60.8425
"(14, 4)",38.305
"(14, 5)",26.369999999999997
"(14, 6)",13.0
"(14, 7)",21.14
"(14, 8)",19.447499999999998
"(14, 9)",17.939999999999998
"(14, 10)",17.825
"(14, 11)",29.795
"(14, 12)",35.6225
"(14, 13)",27.9375
"(14, 14)",19.044999999999998
"(14, 15)",34.432500000000005
"(14, 16)",93.9777
"(14, 17)",58.7975
"(14, 18)",19.78
"(14, 19)",23.64
"(15, 0)",46.595
"(15, 1)",50.42
"(15, 2)",70.0375
"(15, 3)",54.620000000000005
"(15, 4)",30.675
"(15, 5)",25.3475
"(15, 6)",16.6
"(15, 7)",21.425
"(15, 8)",20.619999999999997
"(15, 9)",18.6475
"(15, 10)",18.065
"(15, 11)",30.662499999999998
"(15, 12)",38.255
"(15, 13)",27.62
"(15, 14)",19.605
"(15, 15)",39.6125
"(15, 16)",102.4881
"(15, 17)",65.87
"(15, 18)",23.252499999999998
"(15, 19)",27.5975
"(16, 0)",47.0725
"(16, 1)",53.7125
"(16, 2)",66.86749999999999
"(16, 3)",56.2775
"(16, 4)",29.955
"(16, 5)",27.585
"(16, 6)",16.345
"(16, 7)",20.845
"(16, 8)",21.285
"(16, 9)",17.7775
"(16, 10)",16.455
"(16, 11)",28.435000000000002
"(16, 12)",36.9875
"(16, 13)",23.3675
"(16, 14)",18.192500000000003
"(16, 15)",49.644999999999996
"(16, 16)",104.5708
"(16, 17)",60.0625
"(16, 18)",24.2
"(16, 19)",29.68
"(17, 0)",46.942499999999995
"(17, 1)",50.4
"(17, 2)",66.72
"(17, 3)",43.3375
"(17, 4)",29.0925
"(17, 5)",36.4425
"(17, 6)",15.5725
"(17, 7)",20.21
"(17, 8)",20.2175
"(17, 9)",15.9125
"(17, 10)",14.3925
"(17, 11)",24.3625
"(17, 12)",31.65
"(17, 13)",20.2025
"(17, 14)",17.895
"(17, 15)",50.847500000000004
"(17, 16)",91.5604
"(17, 17)",45.542500000000004
"(17, 18)",22.59
"(17, 19)",26.43
"(18, 0)",43.2575
"(18, 1)",45.480000000000004
"(18, 2)",57.985
"(18, 3)",39.565
"(18, 4)",27.939999999999998
"(18, 5)",19.2425
"(18, 6)",15.8525
"(18, 7)",19.285
"(18, 8)",19.6625
"(18, 9)",14.8825
"(18, 10)",12.485
"(18, 11)",21.4775
"(18, 12)",26.6725
"(18, 13)",20.495
"(18, 14)",17.0025
"(18, 15)",71.6927
"(18, 16)",74.3
"(18, 17)",48.03
"(18, 18)",21.0875
"(18, 19)",21.275
"(19, 0)",38.305
"(19, 1)",44.317499999999995
"(19, 2)",50.1725
"(19, 3)",37.7525
"(19, 4)",25.255
"(19, 5)",18.7425
"(19, 6)",15.575
"(19, 7)",18.98
"(19, 8)",19.3425
"(19, 9)",12.7725
"(19, 10)",12.025
"(19, 11)",19.88
"(19, 12)",22.72
"(19, 13)",19.865000000000002
"(19, 14)",4.2225
"(19, 15)",56.042500000000004
"(19, 16)",53.195
"(19, 17)",38.18
"(19, 18)",20.9
"(19, 19)",18.6175
"(20, 0)",35.1075
"(20, 1)",44.6525
"(20, 2)",44.405
"(20, 3)",37.475
"(20, 4)",24.1325
"(20, 5)",17.122500000000002
"(20, 6)",15.567499999999999
"(20, 7)",18.8475
"(20, 8)",19.3775
"(20, 9)",12.375
"(20, 10)",11.275
"(20, 11)",19.205000000000002
"(20, 12)",19.855
"(20, 13)",19.6525
"(20, 14)",0.0
"(20, 15)",40.455
"(20, 16)",46.3875
"(20, 17)",31.5325
"(20, 18)",20.685
"(20, 19)",18.122500000000002
"(21, 0)",34.9475
"(21, 1)",41.6975
"(21, 2)",42.025
"(21, 3)",29.9375
"(21, 4)",22.095
"(21, 5)",16.1075
"(21, 6)",14.715
"(21, 7)",18.52
"(21, 8)",18.6625
"(21, 9)",12.735
"(21, 10)",11.855
"(21, 11)",19.305
"(21, 12)",19.035
"(21, 13)",19.22
"(21, 14)",0.0
"(21, 15)",49.87
"(21, 16)",45.81
"(21, 17)",33.4625
"(21, 18)",19.59
"(21, 19)",17.325
"(22, 0)",36.2325
"(22, 1)",44.515
"(22, 2)",42.925
"(22, 3)",38.72
"(22, 4)",22.7925
"(22, 5)",15.7
"(22, 6)",9.47
"(22, 7)",18.5625
"(22, 8)",19.174999999999997
"(22, 9)",15.73
"(22, 10)",12.2425
"(22, 11)",20.08
"(22, 12)",18.9125
"(22, 13)",19.19
"(22, 14)",0.0075
"(22, 15)",60.16
"(22, 16)",46.28
"(22, 17)",71.7775
"(22, 18)",20.655
"(22, 19)",17.7175
"(23, 0)",44.04
"(23, 1)",56.209999999999994
"(23, 2)",49.4925
"(23, 3)",44.8675
"(23, 4)",30.325
"(23, 5)",17.19
"(23, 6)",16.0825
"(23, 7)",19.1825
"(23, 8)",23.1625
"(23, 9)",16.4025
"(23, 10)",16.83
"(23, 11)",20.645
"(23, 12)",19.1875
"(23, 13)",20.5975
"(23, 14)",6.6000000000000005
"(23, 15)",88.8879
"(23, 16)",55.4725
"(23, 17)",59.3275
"(23, 18)",22.105
"(23, 19)",19.15
